Course_Name,Professor_Name,Median_Score
Aeronautics & Astronautics A A 101 A,Christopher Lum Assistant Professor SU17,4.8
Arts & Sciences A A 198 A,Christopher Lum Instructor AU17,4.27
Aeronautics & Astronautics A A 210 A,Dana Dabiri Associate Professor SP18,3.67
Aeronautics & Astronautics A A 210 A,Raymond Golingo Assistant Professor SU17,4.5
Aeronautics & Astronautics A A 210 A,Robert Breidenthal Professor WI18,0.94
Aeronautics & Astronautics A A 210 A,Robert Breidenthal Professor AU17,1.14
Aeronautics & Astronautics A A 260 A,Anna Sheppard Pre-Doctoral Associate SP18,2.94
Aeronautics & Astronautics A A 260 A,Carl Knowlen Associate Professor SU17,3.67
Aeronautics & Astronautics A A 301 A,Mitsuru Kurosaka Professor SP18,3.32
Aeronautics & Astronautics A A 302 A,Dana Dabiri Associate Professor WI18,2.95
Aeronautics & Astronautics A A 310 A,James Hermanson Professor AU17,4.71
Aeronautics & Astronautics A A 311 A,Mohammad Soltani Professor AU17,0.53
Aeronautics & Astronautics A A 312 A,Kristi Morgansen Professor WI18,2.47
Aeronautics & Astronautics A A 320 B,Raymond Golingo Assistant Professor AU17,3.18
Aeronautics & Astronautics A A 321 A,James Hermanson Professor WI18,3.84
Aeronautics & Astronautics A A 322 A,James Hermanson Professor SP18,4.22
Aeronautics & Astronautics A A 331 A,Jinkyu Yang Assistant Professor WI18,4.23
Aeronautics & Astronautics A A 332 A,Jinkyu Yang Assistant Professor SP18,4.12
Aeronautics & Astronautics A A 395 A,Marco Salviato Assistant Professor AU17,4.7
Aeronautics & Astronautics A A 400 A,Mohammad Soltani Professor WI18,1.33
Aeronautics & Astronautics A A 402 A,Antonino Ferrante Associate Professor AU17,4.2
Aeronautics & Astronautics A A 405 A,Uri Shumlak Professor AU17,4.14
Aeronautics & Astronautics A A 410 AA,Eli Livne Professor WI18,2.7
Aeronautics & Astronautics A A 410 AB,Kristi Morgansen Professor WI18,4
Aeronautics & Astronautics A A 410 AD,Kristi Morgansen Professor WI18,2.5
Aeronautics & Astronautics A A 410 AE,Kristi Morgansen Professor WI18,1.5
Aeronautics & Astronautics A A 410 AG,Kristi Morgansen Professor WI18,2
Aeronautics & Astronautics A A 410 AH,Kristi Morgansen Professor WI18,1
Aeronautics & Astronautics A A 411 AA,Eli Livne Professor SP18,2.88
Aeronautics & Astronautics A A 411 AB,Christopher Lum Assistant Professor SP18,4
Aeronautics & Astronautics A A 411 AC,Adam Bruckner Professor SP18,3
Aeronautics & Astronautics A A 411 AD,Behcet Acikmese Associate Professor SP18,3
Aeronautics & Astronautics A A 411 AE,Kristi Morgansen Professor SP18,4
Aeronautics & Astronautics A A 411 AG,Adam Bruckner Professor SP18,3
Aeronautics & Astronautics A A 411 AH,Christopher Lum Assistant Professor SP18,1.5
Aeronautics & Astronautics A A 419 A,Uri Shumlak Professor WI18,4.46
Aeronautics & Astronautics A A 420 AA,Carl Knowlen Associate Professor WI18,3
Aeronautics & Astronautics A A 420 AB,Kristi Morgansen Professor WI18,2.25
Aeronautics & Astronautics A A 421 AA,Carl Knowlen Associate Professor SP18,3.13
Aeronautics & Astronautics A A 421 AB,Kristi Morgansen Professor SP18,2.83
Aeronautics & Astronautics A A 430 A,Marco Salviato Assistant Professor WI18,4.66
Aeronautics & Astronautics A A 432 A,Jinkyu Yang Assistant Professor AU17,4.19
Aeronautics & Astronautics A A 440 A,Mohammad Soltani Professor WI18,1
Aeronautics & Astronautics A A 441 A,Christopher Lum Assistant Professor SP18,3.2
Aeronautics & Astronautics A A 447 A,Behcet Acikmese Associate Professor SP18,3.31
Aeronautics & Astronautics A A 447 A,Behcet Acikmese Associate Professor AU17,3.14
Aeronautics & Astronautics A A 448 A,Christopher Lum Assistant Professor WI18,3.75
Aeronautics & Astronautics A A 461 A,James Hermanson Professor AU17,3.9
Aeronautics & Astronautics A A 462 A,Adam Bruckner Professor SP18,4.05
Aeronautics & Astronautics A A 470 A,Susan Murphy Associate Professor AU17,3.43
Aeronautics & Astronautics A A 498 A,Kristi Morgansen Professor AU17,0.91
Aeronautics & Astronautics A A 498 B,Justin Little Lecturer AU17,4.75
Aeronautics & Astronautics A A 498 D,Nathan Sniadecki Associate Professor SP18,4.5
Aeronautics & Astronautics A A 504 A,Robert Breidenthal Professor AU17,3.33
Aeronautics & Astronautics A A 506 A,Dana Dabiri Associate Professor SP18,2.5
Aeronautics & Astronautics A A 507 A,Dana Dabiri Associate Professor WI18,2.88
Aeronautics & Astronautics A A 510 A,Unspecified Other AU17,4
Aeronautics & Astronautics A A 516 A,Max Spetzler Lecturer SP18,4.33
Aeronautics & Astronautics A A 524 A,Mitsuru Kurosaka Professor WI18,4
Aeronautics & Astronautics A A 530 B,Moderage Waas Professor AU17,4
Aeronautics & Astronautics A A 538 A,Eli Livne Professor AU17,4
Aeronautics & Astronautics A A 541 A,Marco Salviato Assistant Professor SP18,4.14
Aeronautics & Astronautics A A 543 A,Antonino Ferrante Associate Professor WI18,4
Aeronautics & Astronautics A A 544 A,Antonino Ferrante Associate Professor SP18,3.25
Aeronautics & Astronautics A A 547 A,Unspecified Other AU17,4
Aeronautics & Astronautics A A 550 A,Unspecified Other AU17,4.71
Aeronautics & Astronautics A A 557 A,Justin Little Lecturer WI18,3.38
Aeronautics & Astronautics A A 558 A,Uri Shumlak Professor SP18,4.79
Aeronautics & Astronautics A A 559 A,Uri Shumlak Professor WI18,4.5
Aeronautics & Astronautics A A 564 A,John O'bryan Other SP18,3.5
Aeronautics & Astronautics A A 580 A,Kristi Morgansen Professor SP18,4.38
Aeronautics & Astronautics A A 597 A,Mehran Mesbahi Professor SP18,4.61
Arts & Sciences AAB 200 A,Renee Ha Instructor AU17,4.72
Arts & Sciences AAB 291 A,Renee Ha Instructor WI18,4.43
Arts & Sciences AAB 292 A,James Ha Instructor SU17,4.64
Arts & Sciences AAB 292 A,Renee Ha Instructor SP18,4.83
Asian American Studies AAS 101 A,Connie So Lecturer SU17,4.75
Asian American Studies AAS 101 A,Moon-Ho Jung Associate Professor SP18,4.66
Asian American Studies AAS 206 A,Connie So Lecturer WI18,4.5
Asian American Studies AAS 210 A,Connie So Lecturer SP18,4.07
Asian American Studies AAS 220 A,Connie So Lecturer SP18,4.5
Asian American Studies AAS 330 A,Jang Huh Assistant Professor SP18,4.7
Asian American Studies AAS 350 A,Connie So Lecturer WI18,4.1
Asian American Studies AAS 360 A,Enrique Bonus Associate Professor AU17,4.7
Asian American Studies AAS 370 A,Vincent Schleitwiler Other AU17,3.79
Asian American Studies AAS 372 A,Vincent Schleitwiler Assistant Professor SP18,3
Asian American Studies AAS 392 A,Linh Nguyen Assistant Professor WI18,3.56
Asian American Studies AAS 395 A,Connie So Lecturer AU17,4.67
Asian American Studies AAS 402 A,Jang Huh Assistant Professor SP18,4.81
