"","Class_Name","Median_Score","Prof_Name","Quarter","Average_Score_By_Class"
"1","Aeronautics & Astronautics A A 101",4.8,"Christopher Lum ","SU17",4.8
"2","Arts & Sciences A A 198",4.27,"Christopher Lum ","AU17",4.27
"3","Aeronautics & Astronautics A A 210",3.67,"Dana Dabiri ","SP18",2.5625
"4","Aeronautics & Astronautics A A 210",4.5,"Raymond Golingo ","SU17",2.5625
"5","Aeronautics & Astronautics A A 210",0.94,"Robert Breidenthal ","WI18",2.5625
"6","Aeronautics & Astronautics A A 210",1.14,"Robert Breidenthal ","AU17",2.5625
"7","Aeronautics & Astronautics A A 260",2.94,"Anna Sheppard ","SP18",3.305
"8","Aeronautics & Astronautics A A 260",3.67,"Carl Knowlen ","SU17",3.305
"9","Aeronautics & Astronautics A A 301",3.32,"Mitsuru Kurosaka ","SP18",3.32
"10","Aeronautics & Astronautics A A 302",2.95,"Dana Dabiri ","WI18",2.95
"11","Aeronautics & Astronautics A A 310",4.71,"James Hermanson ","AU17",4.71
"12","Aeronautics & Astronautics A A 311",0.53,"Mohammad Soltani ","AU17",0.53
"13","Aeronautics & Astronautics A A 312",2.47,"Kristi Morgansen ","WI18",2.47
"14","Aeronautics & Astronautics A A 320",3.18,"Raymond Golingo ","AU17",3.18
"15","Aeronautics & Astronautics A A 321",3.84,"James Hermanson ","WI18",3.84
"16","Aeronautics & Astronautics A A 322",4.22,"James Hermanson ","SP18",4.22
"17","Aeronautics & Astronautics A A 331",4.23,"Jinkyu Yang ","WI18",4.23
"18","Aeronautics & Astronautics A A 332",4.12,"Jinkyu Yang ","SP18",4.12
"19","Aeronautics & Astronautics A A 395",4.7,"Marco Salviato ","AU17",4.7
"20","Aeronautics & Astronautics A A 400",1.33,"Mohammad Soltani ","WI18",1.33
"21","Aeronautics & Astronautics A A 402",4.2,"Antonino Ferrante ","AU17",4.2
"22","Aeronautics & Astronautics A A 405",4.14,"Uri Shumlak ","AU17",4.14
"23","Aeronautics & Astronautics A A 410",2.7,"Eli Livne ","WI18",2.28333333333333
"24","Aeronautics & Astronautics A A 410",4,"Kristi Morgansen ","WI18",2.28333333333333
"25","Aeronautics & Astronautics A A 410",2.5,"Kristi Morgansen ","WI18",2.28333333333333
"26","Aeronautics & Astronautics A A 410",1.5,"Kristi Morgansen ","WI18",2.28333333333333
"27","Aeronautics & Astronautics A A 410",2,"Kristi Morgansen ","WI18",2.28333333333333
"28","Aeronautics & Astronautics A A 410",1,"Kristi Morgansen ","WI18",2.28333333333333
"29","Aeronautics & Astronautics A A 411",2.88,"Eli Livne ","SP18",3.05428571428571
"30","Aeronautics & Astronautics A A 411",4,"Christopher Lum ","SP18",3.05428571428571
"31","Aeronautics & Astronautics A A 411",3,"Adam Bruckner ","SP18",3.05428571428571
"32","Aeronautics & Astronautics A A 411",3,"Behcet Acikmese ","SP18",3.05428571428571
"33","Aeronautics & Astronautics A A 411",4,"Kristi Morgansen ","SP18",3.05428571428571
"34","Aeronautics & Astronautics A A 411",3,"Adam Bruckner ","SP18",3.05428571428571
"35","Aeronautics & Astronautics A A 411",1.5,"Christopher Lum ","SP18",3.05428571428571
"36","Aeronautics & Astronautics A A 419",4.46,"Uri Shumlak ","WI18",4.46
"37","Aeronautics & Astronautics A A 420",3,"Carl Knowlen ","WI18",2.625
"38","Aeronautics & Astronautics A A 420",2.25,"Kristi Morgansen ","WI18",2.625
"39","Aeronautics & Astronautics A A 421",3.13,"Carl Knowlen ","SP18",2.98
"40","Aeronautics & Astronautics A A 421",2.83,"Kristi Morgansen ","SP18",2.98
"41","Aeronautics & Astronautics A A 430",4.66,"Marco Salviato ","WI18",4.66
